Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.316000E+03; -0.823536E+01; -0.193921E+04;  0.000000E+00; -0.194745E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.902790E+04;  0.316000E+03; -0.823608E+01; -0.192004E+04;  0.000000E+00; -0.192827E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.900377E+04;  0.316000E+03; -0.823758E+01; -0.189925E+04;  0.000000E+00; -0.190749E+04
  0.588159E+04;  0.101797E+04;  0.264625E-01;  0.902926E+04;  0.316000E+03; -0.823880E+01; -0.189447E+04;  0.000000E+00; -0.190271E+04
  0.587926E+04;  0.102071E+04;  0.287160E-01;  0.910141E+04;  0.316000E+03; -0.824067E+01; -0.189208E+04;  0.000000E+00; -0.190032E+04
  0.577339E+04;  0.102909E+04;  0.286776E-01;  0.909980E+04;  0.316000E+03; -0.824062E+01; -0.187253E+04;  0.000000E+00; -0.188077E+04
  0.565601E+04;  0.103928E+04;  0.294280E-01;  0.909149E+04;  0.316000E+03; -0.824066E+01; -0.185577E+04;  0.000000E+00; -0.186401E+04
  0.561477E+04;  0.107693E+04;  0.231386E-01;  0.909363E+04;  0.316000E+03; -0.823888E+01; -0.184387E+04;  0.000000E+00; -0.185211E+04
  0.552470E+04;  0.107753E+04;  0.208130E-01;  0.908748E+04;  0.316000E+03; -0.823817E+01; -0.183812E+04;  0.000000E+00; -0.184636E+04
  0.552470E+04;  0.109225E+04;  0.274622E-01;  0.912910E+04;  0.316000E+03; -0.824108E+01; -0.183495E+04;  0.000000E+00; -0.184320E+04
  0.547860E+04;  0.109908E+04;  0.279140E-01;  0.912354E+04;  0.316000E+03; -0.824104E+01; -0.183178E+04;  0.000000E+00; -0.184002E+04
  0.534252E+04;  0.111771E+04;  0.160251E-01;  0.913209E+04;  0.316000E+03; -0.823841E+01; -0.182618E+04;  0.000000E+00; -0.183442E+04
  0.533579E+04;  0.111680E+04;  0.202889E-01;  0.917244E+04;  0.316000E+03; -0.824081E+01; -0.182632E+04;  0.000000E+00; -0.183456E+04
  0.530508E+04;  0.112433E+04;  0.210187E-01;  0.917315E+04;  0.316000E+03; -0.824101E+01; -0.182519E+04;  0.000000E+00; -0.183343E+04
  0.528352E+04;  0.112699E+04;  0.234873E-01;  0.919842E+04;  0.316000E+03; -0.824279E+01; -0.182501E+04;  0.000000E+00; -0.183325E+04
  0.533275E+04;  0.112699E+04;  0.211055E-01;  0.922139E+04;  0.316000E+03; -0.824341E+01; -0.182521E+04;  0.000000E+00; -0.183345E+04
  0.526066E+04;  0.114819E+04;  0.121866E-01;  0.922903E+04;  0.316000E+03; -0.824219E+01; -0.182273E+04;  0.000000E+00; -0.183097E+04
  0.517944E+04;  0.115941E+04;  0.374067E-02;  0.920984E+04;  0.316000E+03; -0.824039E+01; -0.182232E+04;  0.000000E+00; -0.183056E+04
  0.518142E+04;  0.116091E+04;  0.699741E-03;  0.921032E+04;  0.316000E+03; -0.824034E+01; -0.182216E+04;  0.000000E+00; -0.183040E+04
  0.520947E+04;  0.118185E+04; -0.491147E-03;  0.918313E+04;  0.316000E+03; -0.823900E+01; -0.182005E+04;  0.000000E+00; -0.182829E+04
  0.512601E+04;  0.119881E+04;  0.453696E-02;  0.918688E+04;  0.316000E+03; -0.823929E+01; -0.182030E+04;  0.000000E+00; -0.182854E+04
  0.519202E+04;  0.119881E+04;  0.470273E-02;  0.920041E+04;  0.316000E+03; -0.823995E+01; -0.181907E+04;  0.000000E+00; -0.182731E+04
  0.533878E+04;  0.120696E+04;  0.446585E-02;  0.915163E+04;  0.316000E+03; -0.823779E+01; -0.181789E+04;  0.000000E+00; -0.182613E+04
  0.542491E+04;  0.119694E+04;  0.130124E-02;  0.921189E+04;  0.316000E+03; -0.824043E+01; -0.182007E+04;  0.000000E+00; -0.182831E+04
  0.537677E+04;  0.119355E+04;  0.129198E-02;  0.921436E+04;  0.316000E+03; -0.824056E+01; -0.181947E+04;  0.000000E+00; -0.182771E+04
